ID,CheckpointID,LocationName,FarScanCheckpointID,ParentID,ParentLocationName,ParentRemoteID,ParentProcessIsEnabled,ParentProcessIsOnline,PluginClassName,RemoteID,IsVisible,DisplayName,Role,HasDebugInfo,RequireExplicitRouting,ProcessIsEnabled,ProcessIsOnline,ProcessIsRouteBlocked,RouteWeight,UISide,Size,OutletStatus
134,134,Accumulator 3,,,,,,,,6,0,Accumulator 3 - Bagger 2 CMSA 2,Accumulator,0,0,1,1,0,1.0,,115,OK
135,135,Accumulator 4,,,,,,,,6,0,Accumulator 4 - Bagger 2 CMSA 2,Accumulator,0,0,1,1,0,1.0,,115,OK
136,136,Accumulator 5,,,,,,,,lower.10,0,Accumulator 5 - Bagger 1 CMSA 1,Accumulator,0,0,1,1,0,1.0,,115,OK
137,137,Accumulator 6,,,,,,,,lower.15,0,Accumulator 6 - Bagger 1 CMSA 1,Accumulator,0,0,1,1,0,1.0,,115,OK
138,138,Accumulator 7,,,,,,,,lower.7,0,Accumulator 7 - Bagger 4 CMSA 4,Accumulator,0,0,1,1,0,1.0,,140,Unassigned
139,139,Accumulator 8,,,,,,,,lower.11,0,Accumulator 8 - Bagger 4 CMSA 4,Accumulator,0,0,1,1,0,1.0,,63,OK
140,140,Accumulator 9,,,,,,,,12,0,Accumulator 9 - Bagger 5 CMSA 5,Accumulator,0,0,1,1,0,1.0,,140,OK
141,141,Accumulator 10,,,,,,,,12,0,Accumulator 10 - Bagger 5 CMSA 5,Accumulator,0,0,1,1,0,1.0,,140,OK
142,142,PatternPacker1,,,,,,,PatternPacker,,0,Pattern Packer 1,PatternPacker,0,0,1,1,0,1.0,,115,OK
143,143,PatternPacker2,,,,,,,PatternPacker,6,0,Pattern Packer 2,PatternPacker,0,0,1,1,0,1.0,,115,OK
144,144,PatternPacker3,,,,,,,PatternPacker,12,0,Pattern Packer 3,PatternPacker,0,0,1,1,0,1.0,,140,OK
145,145,Inside Merge 2,,,,,,,MPERIA,,0,Sato 1 - Inside Lane,,0,1,1,0,0,1.0,,,
146,146,Outside Merge 1,,,,,,,SATO,,0,Outside ID SATO,,0,0,0,1,0,1.0,,,
147,147,MergeGBFtoC,,,,,,,,,0,,TrafficCop,0,0,1,1,0,1.0,,,
148,148,Unused - Sato Cutie Delay,,,,,,,,,0,Sato Cutie Delay,,0,1,1,1,0,1.0,,,
149,149,Outside Merge 2,,,,,,,SATO,,0,Outside Brown Label,,0,1,0,1,0,1000.0,,,
150,150,Accumulator 11,,,,,,,,lower.19,0,Accumulator 11 - Bagger 6 CMSA 5,Accumulator,0,0,1,1,0,1.0,,200,OK
151,151,Accumulator 12,,,,,,,,lower.23,0,Accumulator 12 - Bagger 6 CMSA 5,Accumulator,0,0,1,1,0,1.0,,95,OK
152,152,Printer Outside Null,,,,,,,NULLPrinter,,0,,,0,0,1,1,0,100.0,,,
153,153,Printer Inside Null,,,,,,,NULLPrinter,,0,,,0,1,1,1,0,1.0,,,
